"","Reported","Reason"
"1. Is the Metric of Time Used in the Statistical Model Reported?","Yes",""
"2. Is Information Presented About the Mean and Variance of Time Within a Wave?","No","Time structured study"
"3a. Is the missing data mechanism reported? Yes/No","Yes",""
"3b. Is a description provided of what variables are related to attrition/missing data?","Yes",""
"3c. Is a description provided of how missing data in the analyses were dealt with","Yes",""
"4. Is information about the distribution of the observed variables included?","Yes",""
"5. Is the software mentioned","Yes",""
"6a. Are Alternative Specifications of Within-Class Heterogeneity Considered? (EG LGCA vs LGMM) and clearly documented?","Yes",""
"6b. Are alternative specifications of Between-Class Differences in variance-covariance matrix structure considered and documented.","No","Variances and covariances were held equal across classes (default condition)"
"7. Are Alternative Shape and Functional Forms of the Trajectories Described?","N/A","Participant attrition on BBT score in weeks 2â€“4 prevented models greater than linear"
"8. If covariates are used, can analysis still be replicated","Yes",""
"9. Is information reported about the number of random start values and final iterations included?","Yes",""
"10. Are the model comparison tools used described?","Yes",""
"11. Are the Total Number of Fitted Models Reported? Including the One-Class Solution?","Yes",""
"12. Are the number of cases per class reported?","Yes",""
"13. If classification of cases in a trajectory is the goal, is entropy reported?","Yes",""
"14a. Is a plot included with the estimated trajectories for the Final Solution","Yes",""
"14b. Are Plots included with the estimated mean trajectories for each model?","Yes",""
"14c. Is a Plot Included of the Combination of Estimated Means of the Final Model and Observed Individual Trajectories Split out for Each Latent Class","Yes",""
"15. Are the characteristics of the Final Class Solution Numerically Described?","Yes",""
"16. Are the syntax files Available?","Yes",""